Subgroup_type,Subgroup_value,ASR_Model,Biomarker,Human_effect,ASR_effect,Deviation,CI_low,CI_high,p_val,n_DEM,n_OLD,p_FDR
Age,<75,Whisper,ttr,-0.0685,-0.0461,0.0224,0.0094,0.0355,0.0009,147,103,0.0058
Age,<75,Whisper,pronoun_ratio,0.0325,0.0405,0.008,0.0022,0.0139,0.0075,147,103,0.0216
Age,<75,Whisper,content_ratio,0.0728,0.0618,-0.0109,-0.019,-0.0029,0.0081,147,103,0.0216
Age,<75,Whisper,mean_word_len,-0.2345,-0.1503,0.0841,0.0398,0.1285,0.0002,147,103,0.0032
Age,>=75,AWS,ttr,-0.1079,-0.1254,-0.0175,-0.031,-0.004,0.0127,27,10,0.0677
Age,>=75,AWS,pronoun_ratio,0.0205,0.0185,-0.002,-0.0262,0.0221,0.8662,27,10,0.8941
Age,>=75,AWS,content_ratio,0.0767,0.0622,-0.0145,-0.029,0.0,0.0506,27,10,0.1472
Age,>=75,AWS,mean_word_len,-0.3415,-0.3486,-0.0071,-0.0824,0.0683,0.8449,27,10,0.8941
Age,>=75,AssemblyAI,ttr,-0.1079,-0.1066,0.0013,-0.0143,0.0169,0.8618,27,10,0.8941
Age,>=75,AssemblyAI,pronoun_ratio,0.0205,0.0103,-0.0102,-0.0265,0.006,0.2094,27,10,0.4786
Age,>=75,AssemblyAI,content_ratio,0.0767,0.0641,-0.0127,-0.0237,-0.0016,0.0263,27,10,0.1027
Age,>=75,AssemblyAI,mean_word_len,-0.3415,-0.2901,0.0514,-0.0389,0.1417,0.2424,27,10,0.5171
Age,>=75,CrisperWhisper,ttr,-0.1079,-0.1323,-0.0243,-0.0749,0.0262,0.3322,27,10,0.5998
Age,>=75,CrisperWhisper,pronoun_ratio,0.0205,0.0139,-0.0066,-0.0239,0.0106,0.4392,27,10,0.7027
Age,>=75,CrisperWhisper,content_ratio,0.0767,0.0678,-0.0089,-0.0319,0.0142,0.4304,27,10,0.7027
Age,>=75,CrisperWhisper,mean_word_len,-0.3415,-0.3899,-0.0484,-0.1496,0.0528,0.3374,27,10,0.5998
Age,>=75,Google,ttr,-0.1079,-0.1397,-0.0318,-0.0569,-0.0066,0.0148,27,10,0.0677
Age,>=75,Google,pronoun_ratio,0.0205,-0.0072,-0.0278,-0.0486,-0.0069,0.0109,27,10,0.0677
Age,>=75,Google,content_ratio,0.0767,0.068,-0.0087,-0.0266,0.0092,0.3274,27,10,0.5998
Age,>=75,Google,mean_word_len,-0.3415,-0.3191,0.0224,-0.1236,0.1684,0.7445,27,10,0.8941
Age,>=75,Meta,ttr,-0.1079,-0.0543,0.0537,0.0239,0.0835,0.0012,27,10,0.0128
Age,>=75,Meta,pronoun_ratio,0.0205,0.0206,0.0001,-0.0188,0.019,0.9893,27,10,0.9893
Age,>=75,Meta,content_ratio,0.0767,0.0743,-0.0024,-0.0177,0.0129,0.7535,27,10,0.8941
Age,>=75,Meta,mean_word_len,-0.3415,-0.2243,0.1172,-0.0046,0.2391,0.0588,27,10,0.1568
Age,>=75,Microsoft,ttr,-0.1079,-0.085,0.0229,0.0021,0.0437,0.0321,27,10,0.1027
Age,>=75,Microsoft,pronoun_ratio,0.0205,0.0242,0.0037,-0.0085,0.0159,0.5419,27,10,0.7882
Age,>=75,Microsoft,content_ratio,0.0767,0.0665,-0.0102,-0.0254,0.005,0.1816,27,10,0.447
Age,>=75,Microsoft,mean_word_len,-0.3415,-0.2341,0.1075,0.0116,0.2034,0.0297,27,10,0.1027
Age,>=75,Nemo,ttr,-0.1079,-0.1055,0.0024,-0.0195,0.0244,0.8172,27,10,0.8941
Age,>=75,Nemo,pronoun_ratio,0.0205,0.025,0.0045,-0.0106,0.0195,0.5361,27,10,0.7882
Age,>=75,Nemo,content_ratio,0.0767,0.0511,-0.0256,-0.0381,-0.0132,0.0002,27,10,0.0064
Age,>=75,Nemo,mean_word_len,-0.3415,-0.3256,0.016,-0.0553,0.0872,0.6419,27,10,0.8931
Age,>=75,Whisper,ttr,-0.1079,-0.1038,0.0042,-0.0157,0.024,0.6723,27,10,0.8941
Age,>=75,Whisper,pronoun_ratio,0.0205,0.0173,-0.0032,-0.0253,0.0189,0.7693,27,10,0.8941
Age,>=75,Whisper,content_ratio,0.0767,0.0612,-0.0156,-0.0257,-0.0054,0.0038,27,10,0.0304
Age,>=75,Whisper,mean_word_len,-0.3415,-0.1792,0.1624,0.074,0.2507,0.0007,27,10,0.0112
Sex,Male,AWS,ttr,-0.057,-0.0441,0.0129,-0.0001,0.0259,0.052,112,53,0.1843
Sex,Male,AWS,pronoun_ratio,0.0223,0.0238,0.0015,-0.0059,0.0088,0.6966,112,53,0.844
Sex,Male,AWS,content_ratio,0.0665,0.061,-0.0055,-0.0135,0.0024,0.1727,112,53,0.3251
Sex,Male,AWS,mean_word_len,-0.2332,-0.2275,0.0058,-0.0403,0.0519,0.805,112,53,0.8587
Sex,Male,AssemblyAI,ttr,-0.057,-0.0363,0.0207,0.0037,0.0378,0.0175,112,53,0.0933
Sex,Male,AssemblyAI,pronoun_ratio,0.0223,0.0202,-0.0021,-0.0087,0.0045,0.5289,112,53,0.7359
Sex,Male,AssemblyAI,content_ratio,0.0665,0.0581,-0.0084,-0.0176,0.0008,0.0745,112,53,0.1987
Sex,Male,AssemblyAI,mean_word_len,-0.2332,-0.1702,0.063,0.0136,0.1125,0.0127,112,53,0.0813
Sex,Male,CrisperWhisper,ttr,-0.057,-0.07,-0.013,-0.0282,0.0022,0.094,112,53,0.2314
Sex,Male,CrisperWhisper,pronoun_ratio,0.0223,0.0217,-0.0006,-0.005,0.0038,0.7735,112,53,0.8587
Sex,Male,CrisperWhisper,content_ratio,0.0665,0.0597,-0.0069,-0.0139,0.0002,0.0576,112,53,0.1843
Sex,Male,CrisperWhisper,mean_word_len,-0.2332,-0.2532,-0.0199,-0.0592,0.0194,0.3179,112,53,0.4844
Sex,Male,Google,ttr,-0.057,-0.0535,0.0035,-0.0151,0.022,0.7121,112,53,0.844
Sex,Male,Google,pronoun_ratio,0.0223,0.0169,-0.0054,-0.0145,0.0037,0.2397,112,53,0.4069
Sex,Male,Google,content_ratio,0.0665,0.0511,-0.0154,-0.0261,-0.0047,0.0049,112,53,0.0392
Sex,Male,Google,mean_word_len,-0.2332,-0.2084,0.0248,-0.0296,0.0792,0.3691,112,53,0.5369
Sex,Male,Meta,ttr,-0.057,0.0068,0.0638,0.0368,0.0907,0.0,112,53,0.0
Sex,Male,Meta,pronoun_ratio,0.0223,0.0092,-0.0132,-0.0216,-0.0047,0.0025,112,53,0.0267
Sex,Male,Meta,content_ratio,0.0665,0.0594,-0.0072,-0.0201,0.0057,0.2744,112,53,0.439
Sex,Male,Meta,mean_word_len,-0.2332,-0.2262,0.007,-0.0639,0.078,0.8455,112,53,0.8728
Sex,Male,Microsoft,ttr,-0.057,-0.0641,-0.0071,-0.0375,0.0233,0.6463,112,53,0.844
Sex,Male,Microsoft,pronoun_ratio,0.0223,0.0167,-0.0056,-0.0133,0.0021,0.1536,112,53,0.3142
Sex,Male,Microsoft,content_ratio,0.0665,0.0505,-0.016,-0.0332,0.0012,0.0674,112,53,0.1961
Sex,Male,Microsoft,mean_word_len,-0.2332,-0.2186,0.0146,-0.0566,0.0858,0.6856,112,53,0.844
